Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Kansas,4/19/21,"42,120","42,120"
Missouri,4/19/21,"90,090","90,090"
Nebraska,4/19/21,"28,080","28,080"
Colorado,4/19/21,"81,900","81,900"
Montana,4/19/21,"16,380","16,380"
North Dakota,4/19/21,"11,700","11,700"
South Dakota,4/19/21,"12,870","12,870"
Utah,4/19/21,"40,950","40,950"
Wyoming,4/19/21,"9,360","9,360"
Arizona,4/19/21,"102,960","102,960"
California,4/19/21,"575,640","575,640"
Hawaii,4/19/21,"22,230","22,230"
Nevada,4/19/21,"43,290","43,290"
American Samoa,4/19/21,0,0
Guam,4/19/21,0,0
Marshall Islands,4/19/21,0,0
Micronesia,4/19/21,0,0
Mariana Islands,4/19/21,0,0
Palau,4/19/21,0,0
Alaska,4/19/21,0,0
Idaho,4/19/21,"24,570","24,570"
Oregon,4/19/21,"62,010","62,010"
Washington,4/19/21,"109,980","109,980"
Federal Entities,4/19/21,"203,580","203,580"
Connecticut,4/12/21,"51,480","51,480"
Maine,4/12/21,"19,890","19,890"
Massachusetts,4/12/21,"97,110","97,110"
New Hampshire,4/12/21,"19,890","19,890"
Rhode Island,4/12/21,"15,210","15,210"
Vermont,4/12/21,"9,360","9,360"
New Jersey,4/12/21,"124,020","124,020"
New York,4/12/21,"156,780","156,780"
New York City,4/12/21,"119,340","119,340"
Puerto Rico,4/12/21,"49,140","49,140"
U.S. Virgin Islands,4/12/21,"2,340","2,340"
Delaware,4/12/21,"14,040","14,040"
District of Columbia,4/12/21,"10,530","10,530"
Maryland,4/12/21,"83,070","83,070"
Pennsylvania,4/12/21,"159,120","159,120"
Philadelphia,4/12/21,"22,230","22,230"
Virginia,4/12/21,"117,000","117,000"
West Virginia,4/12/21,"26,910","26,910"
Alabama,4/12/21,"67,860","67,860"
Florida,4/12/21,"293,670","293,670"
Georgia,4/12/21,"139,230","139,230"
